"CompontentName","FileName","CSV_MSP","CompareResult"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.ADConnect.Resources.dll.KO_KR","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.ADConnect.Resources.dll.PT_BR","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.ADConnect.Resources.dll.RU_RU","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.ADConnect.Resources.dll.ZH_CN","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.ADConnect.Resources.dll.ZH_TW","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.ArchJournal.Resources.dll.DE_DE","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.ArchJournal.Resources.dll.ES_ES","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.ArchJournal.Resources.dll.FR_FR","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.ArchJournal.Resources.dll.IT_IT","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.ArchJournal.Resources.dll.JA_JP","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.ArchJournal.Resources.dll.KO_KR","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.ArchJournal.Resources.dll.PT_BR","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.ArchJournal.Resources.dll.RU_RU","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.ArchJournal.Resources.dll.ZH_CN","6.0.0.0---6.0.0.0","True"
